,Star_name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,1.0,1.0,274.2691614595739
1,Sirius,0008.6,2.1,1.71,196.971799550325
2,Canopus,0310,15.0,71.0,0.8161153386021839
3,Alpha Centauri,0004.4,1.1,1.2,209.51116500384123
4,Arcturus,0037,1.1,26.0,0.44629597278924754
5,Vega,0025,2.2,2.7,82.76984296448046
6,Capella,0043,2.6,12.0,4.952082081908975
7,Rigel,0860,23.0,78.9,1.01332978543217
8,Procyon,0011.4,1.5,1.9,113.9622554541166
9,Betelgeuse,0640[1],20.0,950.0,0.006077986957552885
10,Achernar,0144,6.7,9.3,21.2464259657665
11,Hadar,0390,10.5,8.6,38.937617567949246
12,Altair,0017,1.8,1.8,152.37175636642996
13,Acrux,0320,18.0,8.9,62.326030883377484
14,Aldebaran,0065,1.5,44.0,0.21250193294905007
15,Antares,0600,12.0,680.0,0.0071177118025840995
16,Spica,0260,11.43,7.47,56.18003500809
17,Pollux,0034,1.9,8.8,6.729227876719916
18,Fomalhaut,0025,1.9,1.8,160.8368539423427
19,Deneb,"2,600",19.0,203.0,0.12645572733460908
20,Mimosa,0350,16.0,8.4,62.19255361895101
21,Regulus,0077,3.8,3.1,108.45190567600218
22,Adhara,0430,12.5,14.0,17.491655705329972
23,Shaula,0700,14.5,8.8,51.354633796020416
24,Castor,0052,2.8,2.4,133.3252868206262
25,Gacrux,0088,1.5,84.0,0.058305519017766566
26,Bellatrix,0240,8.6,5.8,70.11637302474244
27,Elnath,0130,5.0,4.2,77.74069202368877
28,Miaplacidus,0110,3.5,6.8,20.759992757536956
29,Alnilam,"2,000",32.0,42.0,4.975404289516081
30,Gamma Velorum,"01,100",9.0,6.0,68.56729036489348
31,Alnair,0101,4.0,3.4,94.90282403445465
32,Alioth,0081,2.9,4.2,45.08960137373948
33,Alnitak,01050,33.0,20.0,22.62720582041485
34,Dubhe,0120,4.25,30.0,1.2951599291146547
35,Mirfak,0590,8.5,68.0,0.5041712526830403
36,Wezen,"1,600",17.0,200.0,0.11656439362031894
37,Sargas,0270,5.7,26.0,2.3126245862715553
38,Kaus Australis,0140,3.5,6.8,20.759992757536956
39,Avior,0630,9.0,130.0,0.14606050018557193
40,Alkaid,0104,6.1,3.4,144.72680665254333
41,Menkalinan,081,2.39,2.77,85.43097080483021
42,Atria,0390,7.0,92.0,0.22682941046987445
